path,before,after,saved_pct,action
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Error Mitigation (Boulder Summer School, BIG EVENT, 2023)/Quantum Error Mitigation, Minev - Bonus - Cheat Sheet Tail Bounds T11_9 (Boulder Summer School 2023) (Minev).pdf",94163,75832,19.5,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Measurements - Part I - Ideal Measurements (Minev, 2023).pdf",7080369,5967557,15.7,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2021)/Intro to Quantum Noise, Coherent ZZ Error (Qiskit Global Summer School 2021) (Minev).pdf",461909,412317,10.7,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2021)/Intro to Quantum Noise, Incoherent Noise (Qiskit Global Summer School 2021) (Minev).pdf",1549168,1187871,23.3,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2021)/Intro to Quantum Noise, Intro to Quantum Noise (Qiskit Global Summer School 2021) (Minev).pdf",4854380,3868820,20.3,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2021)/Intro to Quantum Noise, Measurement Noise (Qiskit Global Summer School 2021) (Minev).pdf",842944,778880,7.6,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2021)/Intro to Quantum Noise, Projection Noise v2 (Qiskit Global Summer School 2021) (Minev).pdf",1442285,1271356,11.9,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2021)/Intro to Quantum Noise, State Preparation Noise (Qiskit Global Summer School 2021) (Minev).pdf",727864,588852,19.1,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2022)/Intro to Quantum Noise - Bonus - Coherent ZZ Error (Qiskit Global Summer School 2022) (Minev).pdf",461909,412316,10.7,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2022)/Intro to Quantum Noise - Bonus - State Preparation Noise (Qiskit Global Summer School 2022) (Minev).pdf",727864,588852,19.1,compress
